judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4.1-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.7272727272727273,0.6666666666666666,-0.06060606060606066
gpt-4.1-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,test,22,0.3,4,5,0.75,0.7272727272727273,0.6363636363636364,-0.09090909090909094,0.7272727272727273,0.6363636363636364,-0.09090909090909094,0.7500000000000001,0.5000000000000001,-0.25
gpt-4.1-mini,zh-en,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4.1-mini,zh-en,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,4,0.625,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.6666666666666666,0.6666666666666666,0.0
