judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,3.24,3.04,-0.2,0.28,0.28,0.0,-0.17406196941935514,-0.3282434394280176,-0.0504400294986319,0.0,-0.09615384615384615,-0.18831168831168832,-0.03203125000000002,0.0
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,3.24,3.52,0.28,0.36,0.36,0.0,0.03859376459957442,-0.06855034644859177,0.17758419150561955,0.76,0.019230769230769273,-0.03969047619047627,0.08666666666666667,0.714
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,3.24,3.36,0.12,0.2,0.2,0.0,-0.012985059955830658,-0.11726646349141548,0.09916447051559227,0.401,-0.0064102564102563875,-0.07051282051282048,0.051948051948051854,0.371
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,3.04,3.52,0.48,0.56,0.52,0.04,0.21265573401892957,0.08243770430048031,0.3903551501824565,1.0,0.11538461538461542,0.038454861111111086,0.22008333333333333,0.999
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,3.04,3.36,0.32,0.32,0.32,0.0,0.1610769094635245,0.05451708840076728,0.28285435433625555,1.0,0.08974358974358976,0.022719988344988326,0.16346153846153844,0.995
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.52,3.36,-0.16,0.24,0.24,0.0,-0.05157882455540508,-0.15432669395530407,0.03234724066853898,0.109,-0.02564102564102566,-0.08333333333333337,0.020833333333333263,0.12
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,4.12,4.08,-0.04,0.2,0.16,0.04,-0.09041030799202132,-0.2729847020823849,0.060028311260387296,0.163,-0.05769230769230771,-0.16987847222222227,0.030017543859649023,0.125
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,4.12,4.16,0.04,0.12,0.12,0.0,-0.01253379822487366,-0.1746222422582009,0.13609771049981967,0.483,-0.012820512820512775,-0.1071428571428571,0.0714285714285714,0.372
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,4.12,4.28,0.16,0.24,0.24,0.0,-0.29801615320749053,-0.5919878944477309,-0.08383247422787876,0.002,-0.16987179487179482,-0.3084511077158137,-0.045454545454545414,0.0
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,4.08,4.16,0.08,0.24,0.16,0.04,0.07787650976714766,-0.17616001485899824,0.3548040131423415,0.742,0.044871794871794934,-0.09615384615384615,0.18181818181818177,0.694
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,4.08,4.28,0.2,0.28,0.2,0.04,-0.2076058452154692,-0.4799969566311202,-0.024705538424917222,0.0,-0.11217948717948711,-0.24675324675324684,-0.009737137862137844,0.0
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,4.16,4.28,0.12,0.28,0.28,0.0,-0.28548235498261687,-0.5636828975072534,-0.0779631585107389,0.001,-0.15705128205128205,-0.288474025974026,-0.0357142857142857,0.0
