judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,0.75,0.5,0.75,0.25,0.5,0.75,0.25,0.6666666666666666,0.75,0.08333333333333337
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,test,22,0.3,4,5,0.75,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.6875000000000001,0.7857142857142858,0.0982142857142857
gpt-4o-mini,en-de,translation_quality_ref_free,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-de,translation_quality_ref_free,P1_target_rubric,Target-language rubric,test,22,0.3,4,4,0.625,0.5,0.5,0.0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4o-mini,en-de,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,5,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.7272727272727273,0.75,0.022727272727272707
gpt-4o-mini,en-de,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,5,0.75,0.5454545454545454,0.6818181818181818,0.13636363636363635,0.5454545454545454,0.6818181818181818,0.13636363636363635,0.6875000000000001,0.7407407407407406,0.05324074074074048
gpt-4o-mini,en-de,translation_quality_ref_free,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,5,0.875,0.625,0.875,0.25,0.625,0.875,0.25,0.7272727272727273,0.888888888888889,0.16161616161616166
gpt-4o-mini,en-de,translation_quality_ref_free,P3_bilingual,Bilingual rubric,test,22,0.3,4,5,0.875,0.5454545454545454,0.8181818181818182,0.2727272727272728,0.5454545454545454,0.8181818181818181,0.2727272727272727,0.6875000000000001,0.8333333333333333,0.14583333333333315
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.6666666666666666,0.7272727272727273,0.06060606060606066
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,test,22,0.3,4,5,0.625,0.5454545454545454,0.45454545454545453,-0.09090909090909088,0.5454545454545454,0.45454545454545453,-0.09090909090909088,0.6875000000000001,0.4999999999999999,-0.18750000000000022
gpt-4o-mini,en-ru,translation_quality_ref_free,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-ru,translation_quality_ref_free,P1_target_rubric,Target-language rubric,test,22,0.3,4,4,0.625,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.7096774193548387,0.7096774193548387,0.0
gpt-4o-mini,en-ru,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-ru,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,4,0.625,0.5,0.5,0.0,0.5,0.5,0.0,0.6206896551724137,0.6206896551724137,0.0
gpt-4o-mini,en-ru,translation_quality_ref_free,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-ru,translation_quality_ref_free,P3_bilingual,Bilingual rubric,test,22,0.3,4,4,0.625,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.0,0.6875000000000001,0.6875000000000001,0.0
gpt-4o-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,1.0,0.625,1.0,0.375,0.625,1.0,0.375,0.7272727272727273,1.0,0.2727272727272727
gpt-4o-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,test,22,0.3,4,5,1.0,0.6363636363636364,0.7272727272727273,0.09090909090909094,0.6363636363636364,0.7272727272727273,0.09090909090909094,0.7142857142857143,0.7000000000000001,-0.014285714285714235
gpt-4o-mini,zh-en,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6666666666666666,0.06666666666666665
gpt-4o-mini,zh-en,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,2,0.5,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.0,0.6428571428571428,0.6875000000000001,0.04464285714285732
