run,base_items,judge_calls,parsed_calls,parse_rate,unique_judged_items,observed_cost_usd,cost_per_1000_judge_calls,api_calls_including_translations,input_tokens,output_tokens,total_tokens,avg_total_tokens_per_api_call
candidate n50,400,1600,1600,1.0,400,0.11135355000000006,0.06959596875000004,2000,382769,89897,472666,236.333
candidate audit n25,200,800,800,1.0,200,0.14312449999999996,0.17890562499999996,1005,198162,48377,246539,245.31243781094528
semantic n30,90,360,360,1.0,90,0.06592844999999996,0.1831345833333332,450,252403,46780,299183,664.8511111111111
wmt reference n30,90,300,300,1.0,90,0.02952989999999999,0.09843299999999996,390,108238,22157,130395,334.34615384615387
wmt ref-free n30,90,300,300,1.0,90,0.02063894999999999,0.06879649999999997,300,84237,13339,97576,325.25333333333333
wmt ref-free audit,60,120,120,1.0,60,0.022101999999999997,0.1841833333333333,120,32659,5649,38308,319.23333333333335
