run,groups,mean_score,mean_score_human_positive,mean_score_human_negative,score_separation_pos_minus_neg,predicted_good_rate_threshold_4,positive_good_rate_threshold_4,negative_good_rate_threshold_4,balanced_accuracy_threshold_4,mode_best_in_group_threshold,mean_best_in_group_balanced_accuracy
candidate n50,32,3.1675,3.5549999999999997,2.7800000000000002,0.7749999999999999,0.48250000000000004,0.62625,0.33875000000000005,0.64375,4,0.6725000000000001
semantic n30,12,1.9944444444444445,2.227777777777778,1.761111111111111,0.4666666666666666,0.08333333333333333,0.09999999999999999,0.06666666666666667,0.5166666666666666,2,0.6666666666666666
wmt reference n30,10,3.753333333333333,3.953333333333333,3.5533333333333337,0.3999999999999999,0.7333333333333334,0.8400000000000001,0.6266666666666666,0.6066666666666667,4,0.6066666666666667
wmt ref-free n30,10,4.446666666666666,4.7,4.193333333333333,0.5066666666666668,0.9000000000000001,0.9600000000000002,0.8400000000000001,0.5599999999999999,5,0.6633333333333333
candidate audit n25,32,3.5650000000000004,4.1484375,3.0264423076923075,1.121995192307692,0.5800000000000001,0.7682291666666667,0.40625,0.6809895833333333,4,0.7162459935897436
