judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4.1-mini,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,1,0.5634885800483993,0.5634885800483993,en-de,0.5634885800483993,en-de,0.0,0.7844444444444445,0.7844444444444445,en-de,0.7844444444444445,en-de,0.0
gpt-4.1-mini,translation_quality_ref_free,P3_bilingual,Bilingual rubric,1,0.5032781794346813,0.5032781794346813,en-de,0.5032781794346813,en-de,0.0,0.76,0.76,en-de,0.76,en-de,0.0
