judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4o-mini,translation_quality_ref_free,P0_direct_english,Direct English rubric,3,0.3765178711787122,0.0233954135447865,en-ru,0.5953667260282005,zh-en,0.571971312483414,0.6888888888888888,0.5111111111111111,en-ru,0.82,zh-en,0.3088888888888889
gpt-4o-mini,translation_quality_ref_free,P1_target_rubric,Target-language rubric,2,0.33892104541506063,0.1991169934799915,en-ru,0.4787250973501297,en-de,0.2796081038701382,0.6699999999999999,0.6,en-ru,0.74,en-de,0.14
gpt-4o-mini,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,3,0.21998122713059098,0.0351161025044917,en-ru,0.4373275788872813,en-de,0.4022114763827896,0.6088888888888889,0.5177777777777778,en-ru,0.7088888888888889,en-de,0.19111111111111112
gpt-4o-mini,translation_quality_ref_free,P3_bilingual,Bilingual rubric,2,0.4276047330122511,0.1781476531796939,en-ru,0.6770618128448084,en-de,0.4989141596651145,0.7133333333333334,0.5888888888888889,en-ru,0.8377777777777777,en-de,0.24888888888888883
