judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,test,22,0.3,4,4,0.625,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.7096774193548387,0.7096774193548387,0.0
gpt-4o-mini,en-de,translation_quality,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-de,translation_quality,P1_target_rubric,Target-language rubric,test,22,0.3,4,4,0.625,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.0,0.6875000000000001,0.6875000000000001,0.0
gpt-4o-mini,en-de,translation_quality,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,5,0.75,0.5,0.75,0.25,0.5,0.75,0.25,0.6,0.6666666666666666,0.06666666666666665
gpt-4o-mini,en-de,translation_quality,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,5,0.75,0.6818181818181818,0.5,-0.18181818181818177,0.6818181818181819,0.5,-0.18181818181818188,0.7586206896551725,,
gpt-4o-mini,en-de,translation_quality,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4o-mini,en-de,translation_quality,P3_bilingual,Bilingual rubric,test,22,0.3,4,4,0.625,0.6818181818181818,0.6818181818181818,0.0,0.6818181818181819,0.6818181818181819,0.0,0.7586206896551725,0.7586206896551725,0.0
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6666666666666666,0.06666666666666665
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,test,22,0.3,4,2,0.5,0.5909090909090909,0.5454545454545454,-0.045454545454545525,0.5909090909090909,0.5454545454545454,-0.045454545454545525,0.6666666666666666,0.6875000000000001,0.02083333333333348
gpt-4o-mini,en-ru,translation_quality,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4o-mini,en-ru,translation_quality,P1_target_rubric,Target-language rubric,test,22,0.3,4,4,0.75,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.0,0.6428571428571428,0.6428571428571428,0.0
gpt-4o-mini,en-ru,translation_quality,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,5,0.625,0.375,0.625,0.25,0.375,0.625,0.25,0.5454545454545454,0.4,-0.1454545454545454
gpt-4o-mini,en-ru,translation_quality,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,5,0.625,0.5909090909090909,0.5,-0.09090909090909094,0.5909090909090909,0.5,-0.09090909090909094,0.64,,
gpt-4o-mini,en-ru,translation_quality,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6666666666666666,0.06666666666666665
gpt-4o-mini,en-ru,translation_quality,P3_bilingual,Bilingual rubric,test,22,0.3,4,2,0.5,0.5909090909090909,0.5454545454545454,-0.045454545454545525,0.5909090909090909,0.5454545454545454,-0.045454545454545525,0.64,0.6875000000000001,0.0475000000000001
gpt-4o-mini,zh-en,translation_quality,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4o-mini,zh-en,translation_quality,P0_direct_english,Direct English rubric,test,22,0.3,4,4,0.875,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090908,0.5909090909090908,0.0,0.6086956521739131,0.6086956521739131,0.0
gpt-4o-mini,zh-en,translation_quality,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,4,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.888888888888889,0.888888888888889,0.0
gpt-4o-mini,zh-en,translation_quality,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,4,0.875,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090908,0.5909090909090908,0.0,0.5714285714285713,0.5714285714285713,0.0
