judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,calibration,6,0.3,4,3,1.0,0.8333333333333334,1.0,0.16666666666666663,0.8333333333333333,1.0,0.16666666666666674,0.8,1.0,0.19999999999999996
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,test,14,0.3,4,3,1.0,0.8571428571428571,0.7857142857142857,-0.0714285714285714,0.8571428571428572,0.7857142857142857,-0.07142857142857151,0.8333333333333333,0.7999999999999999,-0.033333333333333326
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,calibration,6,0.3,4,2,0.8333333333333333,0.5,0.8333333333333334,0.33333333333333337,0.5,0.8333333333333333,0.33333333333333326,,0.8571428571428571,
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,test,14,0.3,4,2,0.8333333333333333,0.7857142857142857,0.6428571428571429,-0.1428571428571428,0.7857142857142857,0.6428571428571428,-0.1428571428571429,0.7272727272727273,0.7368421052631579,0.009569377990430561
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,6,0.3,4,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,14,0.3,4,4,1.0,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,calibration,6,0.3,4,3,1.0,0.8333333333333334,1.0,0.16666666666666663,0.8333333333333333,1.0,0.16666666666666674,0.8,1.0,0.19999999999999996
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,test,14,0.3,4,3,1.0,0.7857142857142857,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,0.0,0.7692307692307692,0.7999999999999999,0.03076923076923077
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,calibration,6,0.3,4,4,0.8333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333333,0.8333333333333333,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,test,14,0.3,4,4,0.8333333333333333,0.6428571428571429,0.6428571428571429,0.0,0.6428571428571428,0.6428571428571428,0.0,0.7058823529411764,0.7058823529411764,0.0
