judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4o-mini,translation_quality,P0_direct_english,Direct English rubric,3,0.30223438195393504,0.1649587654623075,en-ru,0.3875851160999636,en-de,0.2226263506376561,0.6466666666666666,0.5733333333333334,en-ru,0.6933333333333334,zh-en,0.12
gpt-4o-mini,translation_quality,P1_target_rubric,Target-language rubric,2,0.31915961405691295,0.3181260124932406,en-de,0.3201932156205854,en-ru,0.002067203127344819,0.6222222222222222,0.5955555555555555,en-de,0.6488888888888888,en-ru,0.053333333333333344
gpt-4o-mini,translation_quality,P2_explicit_pivot,Explicit English pivot,3,0.2789408713029073,0.1348983132081927,en-ru,0.3984095364447979,en-de,0.26351122323660514,0.6370370370370371,0.5644444444444444,en-ru,0.6777777777777778,en-de,0.1133333333333334
gpt-4o-mini,translation_quality,P3_bilingual,Bilingual rubric,2,0.31483993230453744,0.1590888121045485,en-ru,0.4705910525045264,en-de,0.31150224039997787,0.6322222222222222,0.5755555555555556,en-ru,0.6888888888888889,en-de,0.11333333333333329
