judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4.1-mini,comprehensibility,P0_direct_english,Direct English rubric,4,0.6467990171966516,0.5089787745947413,vi,0.7384519731655377,es-ES,0.2294731985707964,0.8613782051282051,0.7852564102564102,vi,0.9102564102564102,tr,0.125
gpt-4.1-mini,comprehensibility,P1_target_rubric,Target-language rubric,4,0.5962670797902407,0.4363632397855295,en-US,0.7185266831549085,tr,0.28216344336937904,0.8333333333333333,0.7467948717948718,en-US,0.903846153846154,tr,0.15705128205128216
gpt-4.1-mini,comprehensibility,P2_explicit_pivot,Explicit English pivot,4,0.37165598360198165,0.168445300211353,tr,0.649018973804459,en-US,0.48057367359310604,0.7059294871794872,0.592948717948718,tr,0.8621794871794872,en-US,0.2692307692307693
gpt-4.1-mini,comprehensibility,P3_bilingual,Bilingual rubric,4,0.6325188742813488,0.4460712855998855,vi,0.7960599483557741,tr,0.3499886627558886,0.8541666666666666,0.75,vi,0.9455128205128204,tr,0.19551282051282037
gpt-4.1-mini,grammar,P0_direct_english,Direct English rubric,4,0.31130551304090553,-0.0935079823281842,tr,0.6445033866354896,en-US,0.7380113689636738,0.6682692307692307,0.4487179487179487,tr,0.8461538461538461,en-US,0.39743589743589747
gpt-4.1-mini,grammar,P1_target_rubric,Target-language rubric,4,0.3265335664615,0.0939495335305675,tr,0.5540930786434682,en-US,0.46014354511290073,0.6738782051282051,0.5512820512820513,tr,0.7884615384615384,en-US,0.23717948717948711
gpt-4.1-mini,grammar,P2_explicit_pivot,Explicit English pivot,4,0.2333014619809714,-0.0517664218784502,vi,0.6319695884106159,en-US,0.683736010289066,0.624198717948718,0.4711538461538461,vi,0.8333333333333334,en-US,0.3621794871794873
gpt-4.1-mini,grammar,P3_bilingual,Bilingual rubric,4,0.2632518254485565,-0.0524976376594567,tr,0.4910215691807121,vi,0.5435192068401689,0.6346153846153846,0.4711538461538461,tr,0.7692307692307693,vi,0.2980769230769232
