judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,calibration,4,0.3,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,test,8,0.3,4,3,1.0,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.0
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,test,8,0.3,4,2,0.75,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.888888888888889,0.031746031746031855
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,5,0.75,0.5,0.75,0.25,0.5,0.75,0.25,0.5,0.6666666666666666,0.16666666666666663
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,5,0.75,1.0,0.75,-0.25,1.0,0.75,-0.25,1.0,0.6666666666666666,-0.33333333333333337
gpt-4.1-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,5,1.0,0.75,1.0,0.25,0.75,1.0,0.25,0.8,1.0,0.19999999999999996
gpt-4.1-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,test,8,0.3,4,5,1.0,0.875,0.5,-0.375,0.875,0.5,-0.375,0.8571428571428571,,
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,test,8,0.3,4,2,0.75,0.75,0.5,-0.25,0.75,0.5,-0.25,0.8,0.6666666666666666,-0.13333333333333341
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,test,8,0.3,4,4,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6,0.0
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,2,0.5,0.625,0.5,-0.125,0.625,0.5,-0.125,0.7272727272727273,0.6666666666666666,-0.06060606060606066
gpt-4.1-mini,en-US,grammar,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,en-US,grammar,P3_bilingual,Bilingual rubric,test,8,0.3,4,4,0.75,0.875,0.875,0.0,0.875,0.875,0.0,0.888888888888889,0.888888888888889,0.0
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,calibration,4,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,test,8,0.3,4,2,0.5,0.875,0.625,-0.25,0.875,0.625,-0.25,0.8571428571428571,0.7272727272727273,-0.1298701298701298
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,test,8,0.3,4,4,0.75,0.625,0.625,0.0,0.625,0.625,0.0,0.4,0.4,0.0
