judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4.1-mini,comprehensibility,P0_direct_english,Direct English rubric,4,0.6822904547234987,0.4263343831891912,es-ES,0.849469247528643,vi,0.42313486433945174,0.875,0.7361111111111112,es-ES,0.9722222222222222,vi,0.23611111111111105
gpt-4.1-mini,comprehensibility,P1_target_rubric,Target-language rubric,4,0.689836615335906,0.5174336838042219,es-ES,0.7580980435789033,tr,0.24066435977468137,0.8784722222222222,0.7777777777777778,es-ES,0.9166666666666666,en-US,0.13888888888888884
gpt-4.1-mini,comprehensibility,P2_explicit_pivot,Explicit English pivot,4,0.3600434366737001,-0.2013893441423696,tr,0.7245472993626659,en-US,0.9259366435050356,0.6909722222222222,0.3888888888888889,tr,0.9027777777777778,en-US,0.5138888888888888
gpt-4.1-mini,comprehensibility,P3_bilingual,Bilingual rubric,4,0.6979041884540239,0.4531260243203316,es-ES,0.8101914936669332,vi,0.3570654693466016,0.8854166666666667,0.75,es-ES,0.9444444444444444,vi,0.19444444444444442
gpt-4.1-mini,grammar,P0_direct_english,Direct English rubric,4,0.509851741757746,0.3801878126154979,es-ES,0.7789621985578676,tr,0.39877438594236975,0.767361111111111,0.6944444444444444,es-ES,0.9027777777777778,tr,0.20833333333333337
gpt-4.1-mini,grammar,P1_target_rubric,Target-language rubric,4,0.4544543860003767,0.3142696805273545,es-ES,0.6666666666666666,tr,0.35239698613931214,0.7395833333333334,0.6666666666666666,es-ES,0.8333333333333334,tr,0.16666666666666674
gpt-4.1-mini,grammar,P2_explicit_pivot,Explicit English pivot,4,0.3255012349572341,0.1513299816915954,vi,0.6172133998483676,tr,0.46588341815677226,0.670138888888889,0.5833333333333334,vi,0.8333333333333334,tr,0.25
gpt-4.1-mini,grammar,P3_bilingual,Bilingual rubric,4,0.6124533083547417,0.5063696835418333,vi,0.7789621985578676,tr,0.2725925150160343,0.829861111111111,0.7777777777777778,vi,0.9027777777777778,tr,0.125
