run,n_cells,median_auroc_range,max_auroc_range,median_spearman_range,max_spearman_range,cells_auroc_range_ge_0_10,cells_auroc_range_ge_0_15,cells_best_not_direct,cells_best_not_pivot,cells_pivot_worst,cells_with_significant_auroc_pair,max_mean_abs_score_shift
candidate n50,8,0.07400000000000001,0.16559999999999997,0.12417470198518954,0.313807091568744,3,1,4,7,4,2,1.2
semantic n30,3,0.10666666666666669,0.12444444444444447,0.1947217599843546,0.24935634907058574,2,0,3,2,2,1,0.7
wmt reference n30,3,0.08444444444444443,0.09333333333333338,0.1524650400112858,0.1852949024123927,0,0,2,3,2,0,0.5333333333333333
wmt ref-free n30,3,0.12888888888888883,0.21999999999999997,0.23973423395752708,0.4078667260282006,2,1,2,3,2,3,0.7
candidate audit n25,8,0.16185897435897434,0.3525641025641024,0.2873370157741555,0.6276146481444211,7,5,5,6,4,4,1.16
wmt ref-free audit,2,0.08111111111111113,0.13777777777777778,0.1542117029531909,0.24821300529266382,1,0,1,1,1,0,0.6666666666666666
