judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,1.0,0.875,1.0,0.125,0.875,1.0,0.125,0.888888888888889,1.0,0.11111111111111105
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,test,17,0.3,4,5,1.0,0.6470588235294118,0.6470588235294118,0.0,0.6388888888888888,0.6319444444444444,-0.00694444444444442,0.5714285714285715,0.5,-0.07142857142857151
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.8,0.050000000000000044
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,test,17,0.3,4,2,0.75,0.6470588235294118,0.5882352941176471,-0.05882352941176472,0.6388888888888888,0.6111111111111112,-0.02777777777777768,0.5714285714285715,0.6956521739130436,0.12422360248447206
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,3,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.5714285714285715,0.8,0.22857142857142854
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,3,0.75,0.7647058823529411,0.7647058823529411,0.0,0.7708333333333333,0.7777777777777778,0.006944444444444531,0.7777777777777777,0.8,0.022222222222222365
gpt-4.1-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.8,0.050000000000000044
gpt-4.1-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,test,17,0.3,4,3,0.75,0.7058823529411765,0.7647058823529411,0.05882352941176461,0.7083333333333333,0.7777777777777778,0.06944444444444453,0.7058823529411765,0.8,0.09411764705882353
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,calibration,8,0.3,4,5,0.875,0.5,0.875,0.375,0.5,0.875,0.375,0.6,0.8571428571428571,0.2571428571428571
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,test,17,0.3,4,5,0.875,0.7058823529411765,0.8235294117647058,0.11764705882352933,0.7222222222222222,0.8263888888888888,0.10416666666666663,0.761904761904762,0.823529411764706,0.06162464985994398
