judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,5,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.7272727272727273,0.8,0.07272727272727275
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,test,17,0.3,4,5,0.75,0.7058823529411765,0.7647058823529411,0.05882352941176461,0.7152777777777778,0.7638888888888888,0.04861111111111105,0.7368421052631579,0.75,0.013157894736842146
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,5,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.7272727272727273,0.75,0.022727272727272707
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,5,0.75,0.7058823529411765,0.8235294117647058,0.11764705882352933,0.7222222222222222,0.8263888888888888,0.10416666666666663,0.761904761904762,0.823529411764706,0.06162464985994398
gpt-4.1-mini,en-US,grammar,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,3,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.6,0.7272727272727273,0.12727272727272732
gpt-4.1-mini,en-US,grammar,P3_bilingual,Bilingual rubric,test,17,0.3,4,3,0.625,0.7058823529411765,0.5294117647058824,-0.17647058823529416,0.7222222222222222,0.5555555555555556,-0.16666666666666663,0.761904761904762,0.6666666666666666,-0.09523809523809534
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,calibration,8,0.3,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,test,17,0.3,4,3,1.0,0.8235294117647058,0.7058823529411765,-0.11764705882352933,0.8263888888888888,0.7152777777777778,-0.11111111111111105,0.823529411764706,0.7368421052631579,-0.0866873065015481
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,3,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,test,17,0.3,4,3,0.875,0.8823529411764706,0.8235294117647058,-0.05882352941176472,0.8819444444444444,0.8263888888888888,-0.05555555555555558,0.875,0.823529411764706,-0.051470588235294046
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,3,0.75,0.7647058823529411,0.7647058823529411,0.0,0.7638888888888888,0.7708333333333333,0.00694444444444442,0.75,0.7777777777777777,0.02777777777777768
gpt-4.1-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,3,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.888888888888889,0.888888888888889,0.0
gpt-4.1-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,test,17,0.3,4,3,0.875,0.9411764705882353,0.8235294117647058,-0.11764705882352944,0.9375,0.8263888888888888,-0.11111111111111116,0.9333333333333333,0.823529411764706,-0.1098039215686274
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,test,17,0.3,4,4,0.75,0.5294117647058824,0.5294117647058824,0.0,0.5555555555555556,0.5555555555555556,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,5,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.6666666666666666,0.5714285714285715,-0.09523809523809512
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,test,17,0.3,4,5,0.625,0.5882352941176471,0.5882352941176471,0.0,0.6111111111111112,0.5902777777777778,-0.02083333333333337,0.6956521739130436,0.5882352941176471,-0.10741687979539649
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,3,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.6666666666666665,0.6666666666666665,0.0
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,3,0.625,0.5882352941176471,0.6470588235294118,0.05882352941176472,0.6041666666666666,0.6666666666666666,0.0625,0.6666666666666667,0.7272727272727273,0.06060606060606055
gpt-4.1-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,test,17,0.3,4,2,0.5,0.5882352941176471,0.47058823529411764,-0.11764705882352944,0.6111111111111112,0.5,-0.11111111111111116,0.6956521739130436,0.6399999999999999,-0.05565217391304367
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,test,17,0.3,4,4,0.875,0.8235294117647058,0.8235294117647058,0.0,0.8125,0.8125,0.0,0.7692307692307693,0.7692307692307693,0.0
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,3,0.875,0.75,0.875,0.125,0.75,0.875,0.125,0.6666666666666666,0.8571428571428571,0.19047619047619047
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,test,17,0.3,4,3,0.875,0.8823529411764706,0.8823529411764706,0.0,0.875,0.8819444444444444,0.00694444444444442,0.8571428571428571,0.875,0.017857142857142905
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,2,0.75,0.4117647058823529,0.5294117647058824,0.11764705882352944,0.4097222222222222,0.5486111111111112,0.13888888888888895,0.375,0.6363636363636364,0.26136363636363635
gpt-4.1-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.875,0.75,0.875,0.125,0.75,0.875,0.125,0.6666666666666666,0.888888888888889,0.22222222222222232
gpt-4.1-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,test,17,0.3,4,2,0.875,0.8235294117647058,0.7058823529411765,-0.11764705882352933,0.8125,0.7222222222222222,-0.09027777777777779,0.7692307692307693,0.761904761904762,-0.0073260073260073
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,calibration,8,0.3,4,3,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.6,0.7272727272727273,0.12727272727272732
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,test,17,0.3,4,3,0.625,0.5294117647058824,0.47058823529411764,-0.05882352941176472,0.5416666666666666,0.4930555555555556,-0.04861111111111105,0.6,0.608695652173913,0.008695652173912993
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,3,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.6666666666666665,0.7272727272727273,0.060606060606060774
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,test,17,0.3,4,3,0.625,0.5294117647058824,0.5294117647058824,0.0,0.5416666666666666,0.5416666666666666,0.0,0.6,0.6,0.0
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,3,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.6,0.7272727272727273,0.12727272727272732
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,3,0.625,0.5882352941176471,0.5294117647058824,-0.05882352941176472,0.6041666666666666,0.5486111111111112,-0.05555555555555547,0.6666666666666667,0.6363636363636364,-0.030303030303030387
gpt-4.1-mini,tr,grammar,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.5,0.375,0.5,0.125,0.375,0.5,0.125,0.5454545454545454,0.6666666666666666,0.12121212121212122
gpt-4.1-mini,tr,grammar,P3_bilingual,Bilingual rubric,test,17,0.3,4,2,0.5,0.6470588235294118,0.47058823529411764,-0.17647058823529416,0.6527777777777778,0.5,-0.1527777777777778,0.6666666666666665,0.6399999999999999,-0.026666666666666616
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,test,17,0.3,4,4,0.75,0.7647058823529411,0.7647058823529411,0.0,0.7638888888888888,0.7638888888888888,0.0,0.75,0.75,0.0
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,2,0.625,0.5,0.625,0.125,0.5,0.625,0.125,0.3333333333333333,0.7272727272727273,0.393939393939394
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,test,17,0.3,4,2,0.625,0.7647058823529411,0.47058823529411764,-0.2941176470588235,0.7777777777777778,0.5,-0.2777777777777778,0.8,0.6399999999999999,-0.16000000000000014
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6666666666666666,0.06666666666666665
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,2,0.5,0.7058823529411765,0.47058823529411764,-0.23529411764705888,0.7013888888888888,0.5,-0.20138888888888884,0.6666666666666666,0.6399999999999999,-0.026666666666666727
gpt-4.1-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,4,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4.1-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,test,17,0.3,4,4,0.875,0.5882352941176471,0.5882352941176471,0.0,0.5972222222222222,0.5972222222222222,0.0,0.631578947368421,0.631578947368421,0.0
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.6666666666666665,0.6666666666666665,0.0
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,test,17,0.3,4,4,0.625,0.7647058823529411,0.7647058823529411,0.0,0.7708333333333333,0.7708333333333333,0.0,0.7777777777777777,0.7777777777777777,0.0
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,test,17,0.3,4,3,0.75,0.6470588235294118,0.5882352941176471,-0.05882352941176472,0.6458333333333333,0.6041666666666666,-0.04166666666666663,0.625,0.6666666666666667,0.04166666666666674
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.5,0.375,0.5,0.125,0.375,0.5,0.125,0.4444444444444445,0.6666666666666666,0.22222222222222215
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,test,17,0.3,4,2,0.5,0.47058823529411764,0.47058823529411764,0.0,0.4722222222222222,0.5,0.02777777777777779,0.47058823529411764,0.6399999999999999,0.16941176470588226
gpt-4.1-mini,vi,grammar,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,3,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.5714285714285715,0.8,0.22857142857142854
gpt-4.1-mini,vi,grammar,P3_bilingual,Bilingual rubric,test,17,0.3,4,3,0.75,0.6470588235294118,0.5882352941176471,-0.05882352941176472,0.6458333333333333,0.6111111111111112,-0.0347222222222221,0.625,0.6956521739130436,0.07065217391304357
