judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,2.9166666666666665,2.8333333333333335,-0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.029231062081743087,0.0,0.14090664908357659,0.6056056056056056,0.01388888888888884,0.0,0.08333333333333337,0.401
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,2.9166666666666665,3.0833333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.09684165259698972,0.12548555585789276,0.424,0.0,-0.06272321428571427,0.0625,0.302
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,2.9166666666666665,3.0,0.08333333333333333,0.25,0.25,0.0,0.04565389288726163,-0.022337558086764176,0.19166241207887094,0.695,0.02777777777777779,0.0,0.125,0.538
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,2.8333333333333335,3.0833333333333335,0.25,0.25,0.25,0.0,-0.029231062081743087,-0.18563786183138314,0.11315306286177101,0.32,-0.01388888888888884,-0.11428571428571432,0.0625,0.256
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,2.8333333333333335,3.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.01642283080551854,-0.05497657146871656,0.13048974055164084,0.43,0.01388888888888895,0.0,0.08333333333333337,0.43343343343343343
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,3.0833333333333335,3.0,-0.08333333333333333,0.25,0.25,0.0,0.04565389288726163,-0.11122934279778823,0.22466673751434743,0.621,0.02777777777777779,-0.05555555555555558,0.15625,0.533
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,3.75,3.8333333333333335,0.08333333333333333,0.25,0.25,0.0,-0.04972355538416212,-0.36946047566262835,0.2347162653755238,0.31626506024096385,-0.01388888888888895,-0.1875,0.13898809523809522,0.376
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,3.75,4.083333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.11542412623407661,-0.49341504938187464,0.26273305162073546,0.25050709939148075,-0.06944444444444453,-0.28169642857142857,0.13888888888888884,0.2136409227683049
gpt-4.1-mini,en-US,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,3.75,3.75,0.0,0.16666666666666666,0.16666666666666666,0.0,0.1536078717259774,-0.01845825327718495,0.4546005039451967,0.8514056224899599,0.09722222222222221,0.0,0.2571428571428571,0.8788788788788788
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,3.8333333333333335,4.083333333333333,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.06570057084991449,-0.6164371825063664,0.5303712922006147,0.3772635814889336,-0.05555555555555558,-0.31489898989898996,0.2715873015873015,0.315
gpt-4.1-mini,en-US,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,3.8333333333333335,3.75,-0.08333333333333333,0.25,0.25,0.0,0.20333142711013952,0.0,0.6004796423657011,0.883,0.11111111111111116,0.0,0.34285714285714286,0.8618618618618619
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,4.083333333333333,3.75,-0.3333333333333333,0.5,0.5,0.0,0.269031997960054,-0.10666290105389986,0.6533293460589171,0.9154929577464789,0.16666666666666674,-0.047131696428571415,0.4001562499999999,0.922
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,2.9166666666666665,2.4166666666666665,-0.5,0.5,0.5,0.0,0.09109930061503069,-0.2405667286330711,0.45016630375668787,0.688,0.04166666666666663,-0.125,0.234375,0.649
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,2.9166666666666665,2.6666666666666665,-0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.22494503904682164,-0.790813843789793,0.16813059094614682,0.165,-0.125,-0.42599206349206353,0.0972916666666666,0.119
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,2.9166666666666665,2.6666666666666665,-0.25,0.25,0.25,0.0,0.02679164113114041,-0.2869611916975881,0.3494845673964409,0.5715715715715716,0.01388888888888884,-0.13888888888888884,0.17142857142857149,0.5315315315315315
