judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,2.4166666666666665,2.6666666666666665,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.3160443396618523,-0.8039563760220311,0.0041594200136864275,0.037,-0.16666666666666663,-0.40639204545454544,0.0,0.0
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,2.4166666666666665,2.6666666666666665,0.25,0.25,0.25,0.0,-0.06430765948389028,-0.31877030952342816,0.10152563481499118,0.308,-0.02777777777777779,-0.17142857142857137,0.0625,0.228
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,2.6666666666666665,2.6666666666666665,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.251736680177962,0.0,0.7482234870691897,0.8907815631262525,0.13888888888888884,0.0,0.375,0.871
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,4.0,3.25,-0.75,0.75,0.4166666666666667,0.3333333333333333,-0.0659181320881434,-0.42560497482573206,0.2991210065406282,0.4050251256281407,-0.02777777777777779,-0.25,0.18190235690235682,0.343
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,4.0,2.8333333333333335,-1.1666666666666667,1.3333333333333333,0.8333333333333334,0.4166666666666667,-0.1368556809193541,-0.762876144937217,0.46191011809623356,0.32831325301204817,-0.06944444444444442,-0.375,0.2571428571428571,0.326
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,4.0,3.9166666666666665,-0.08333333333333333,0.25,0.25,0.0,0.22513211415088402,0.0,0.5032108816617245,0.9659318637274549,0.13888888888888895,0.0,0.33333333333333326,0.953953953953954
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,3.25,2.8333333333333335,-0.4166666666666667,0.5833333333333334,0.4166666666666667,0.08333333333333333,-0.0709375488312107,-0.5563440481610026,0.32370841443492226,0.3743743743743744,-0.04166666666666663,-0.32892857142857135,0.19999999999999998,0.3627254509018036
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,3.25,3.9166666666666665,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.2910502462390274,-0.011708916186315638,0.6408257967219683,0.954,0.16666666666666674,0.0,0.34285714285714286,0.972
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,2.8333333333333335,3.9166666666666665,1.0833333333333333,1.25,0.8333333333333334,0.3333333333333333,0.36198779507023815,-0.1735262292038696,0.8814545267486661,0.9125628140703518,0.20833333333333337,-0.08571428571428574,0.45714285714285713,0.913
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,2.75,2.4166666666666665,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.02928715476540833,-0.05438769918621229,0.1592561383408944,0.5145145145145145,0.02777777777777779,0.0,0.11428571428571421,0.5420841683366734
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,2.75,2.6666666666666665,-0.08333333333333333,1.4166666666666667,0.6666666666666666,0.4166666666666667,-0.9302002329558646,-1.3858807965695168,-0.3594119372426173,0.0,-0.49999999999999994,-0.765625,-0.21413690476190492,0.0
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,2.75,2.5,-0.25,0.25,0.25,0.0,0.02928715476540833,-0.06115967318969857,0.15170837081892932,0.473,0.02777777777777779,0.0,0.11428571428571432,0.5775775775775776
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,2.4166666666666665,2.6666666666666665,0.25,1.4166666666666667,0.8333333333333334,0.3333333333333333,-0.959487387721273,-1.3779735683754704,-0.4151257192419877,0.0,-0.5277777777777777,-0.7777777777777778,-0.2407407407407407,0.0
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,2.4166666666666665,2.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,-0.01421246100020672,0.012780931575870125,0.23246492985971945,0.0,0.0,0.0,0.0
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,2.6666666666666665,2.5,-0.16666666666666666,1.5,0.8333333333333334,0.3333333333333333,0.959487387721273,0.4230679356963156,1.417491213605104,1.0,0.5277777777777777,0.24982142857142858,0.7857142857142857,1.0
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,3.4166666666666665,3.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,-0.112295531891201,-0.3820132815412401,0.0,0.0,-0.06944444444444442,-0.25,0.0,0.0
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,3.4166666666666665,3.5833333333333335,0.16666666666666666,0.5,0.4166666666666667,0.08333333333333333,-0.16174879870949999,-0.5763988142601084,0.19420850179495097,0.19438877755511022,-0.06944444444444442,-0.3441550925925926,0.125,0.22822822822822822
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,3.4166666666666665,3.5833333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.3473403650795953,0.3473403650795953,0.46292585170340683,0.0,-0.21499999999999997,0.22964285714285612,0.4004004004004004
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,3.5,3.5833333333333335,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.04945326681829898,-0.3311961636886876,0.19375610746698302,0.346,0.0,-0.15031250000000002,0.15000000000000002,0.42542542542542544
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,3.5,3.5833333333333335,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.112295531891201,0.0,0.3423070594826505,0.6503006012024048,0.06944444444444442,0.0,0.21875,0.623
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,3.5833333333333335,3.5833333333333335,0.0,0.3333333333333333,0.25,0.08333333333333333,0.16174879870949999,0.0,0.41946063544240136,0.958958958958959,0.06944444444444442,0.0,0.20833333333333337,0.839
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,3.3333333333333335,2.9166666666666665,-0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,-0.11943287501255317,-0.37444980477851725,0.02523857662720295,0.067,-0.06944444444444442,-0.2142857142857143,0.0,0.0
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,3.3333333333333335,2.9166666666666665,-0.4166666666666667,0.75,0.5833333333333334,0.08333333333333333,-0.13384280019650863,-0.3935341736064299,0.10471975473751682,0.15030060120240482,-0.11111111111111105,-0.2779513888888889,0.0,0.0
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,3.3333333333333335,2.9166666666666665,-0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,-0.03927775386170973,-0.1859660698525033,0.06351514690284366,0.168,-0.02777777777777779,-0.125,0.0,0.0
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,2.9166666666666665,2.9166666666666665,0.0,0.5,0.3333333333333333,0.16666666666666666,-0.014409925183955452,-0.28098466276908673,0.27568728566590495,0.5040160642570282,-0.04166666666666663,-0.2222222222222222,0.09406249999999972,0.2652652652652653
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,2.9166666666666665,2.9166666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.08015512115084344,-0.034260508909400945,0.29004240323311137,0.8628628628628628,0.04166666666666663,0.0,0.15625,0.72
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,2.9166666666666665,2.9166666666666665,0.0,0.5,0.3333333333333333,0.08333333333333333,0.0945650463347989,-0.08803745280556463,0.32284035477617407,0.6996996996996997,0.08333333333333326,0.0,0.25,0.824
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,12,3.6666666666666665,3.25,-0.4166666666666667,0.5833333333333334,0.5,0.08333333333333333,0.006347796334029432,-0.30738766446542953,0.3353329199567586,0.47,0.0,-0.17142857142857143,0.24285714285714288,0.4244244244244244
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,12,3.6666666666666665,3.8333333333333335,0.16666666666666666,0.6666666666666666,0.5,0.16666666666666666,-0.32337342133911673,-0.933413353571845,0.22888158247198667,0.13113113113113112,-0.18055555555555547,-0.5138888888888888,0.14073660714285705,0.11911911911911911
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,12,3.6666666666666665,3.5,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.031666280511121137,-0.16083174855776686,0.28287778954268583,0.49047141424272817,0.01388888888888895,-0.11428571428571421,0.14285714285714285,0.47147147147147145
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,12,3.25,3.8333333333333335,0.5833333333333334,0.75,0.5,0.25,-0.3297212176731461,-0.8663037985805492,0.13225318926724347,0.097,-0.18055555555555547,-0.4724537037037037,0.08584415584415575,0.076
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,12,3.25,3.5,0.25,0.4166666666666667,0.4166666666666667,0.0,0.025318484177091705,-0.20111089132269325,0.24991427601202545,0.563,0.01388888888888895,-0.11428571428571421,0.14298941798941792,0.515
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,12,3.8333333333333335,3.5,-0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.3550397018502378,-0.11182200093301198,0.9157122271719834,0.914914914914915,0.19444444444444442,-0.08571428571428569,0.5371825396825395,0.898
