judge_model,dimension,protocol,protocol_name,n_languages,mean_spearman,min_spearman,min_spearman_language,max_spearman,max_spearman_language,spearman_language_gap,mean_auroc,min_auroc,min_auroc_language,max_auroc,max_auroc_language,auroc_language_gap
gpt-4o-mini,main_ideas,P0_direct_english,Direct English rubric,3,0.36482392930125274,0.1432420394302416,vi,0.4878699560508865,es-ES,0.3446279166206449,0.6918518518518519,0.5755555555555556,vi,0.7622222222222222,es-ES,0.18666666666666665
gpt-4o-mini,main_ideas,P1_target_rubric,Target-language rubric,3,0.3523907633644782,0.1382217897362595,vi,0.495457400969761,tr,0.35723561123350145,0.6674074074074073,0.5733333333333334,vi,0.7177777777777777,es-ES,0.14444444444444438
gpt-4o-mini,main_ideas,P2_explicit_pivot,Explicit English pivot,3,0.2842636515811674,0.0,vi,0.5142600483210981,es-ES,0.5142600483210981,0.6466666666666666,0.5,vi,0.7711111111111111,es-ES,0.2711111111111111
gpt-4o-mini,main_ideas,P3_bilingual,Bilingual rubric,3,0.4047916351043934,0.1947217599843546,vi,0.5878872554929899,tr,0.39316549550863533,0.7081481481481481,0.6066666666666667,vi,0.7933333333333333,tr,0.18666666666666665
